Time(s),RX
0.000000000000e+0,3.300000
6.510416666667e-6,3.300000
1.302083333333e-5,3.300000
1.953125000000e-5,3.300000
2.604166666667e-5,3.300000
3.255208333333e-5,3.300000
3.906250000000e-5,3.300000
4.557291666667e-5,3.300000
5.208333333333e-5,3.300000
5.859375000000e-5,3.300000
6.510416666667e-5,3.300000
7.161458333333e-5,3.300000
7.812500000000e-5,3.300000
8.463541666667e-5,3.300000
9.114583333333e-5,3.300000
9.765625000000e-5,3.300000
1.041666666667e-4,3.300000
1.106770833333e-4,3.300000
1.171875000000e-4,3.300000
1.236979166667e-4,3.300000
1.302083333333e-4,3.300000
1.367187500000e-4,3.300000
1.432291666667e-4,3.300000
1.497395833333e-4,3.300000
1.562500000000e-4,3.300000
1.627604166667e-4,3.300000
1.692708333333e-4,3.300000
1.757812500000e-4,3.300000
1.822916666667e-4,3.300000
1.888020833333e-4,3.300000
1.953125000000e-4,3.300000
2.018229166667e-4,3.300000
2.083333333333e-4,0.000000
2.148437500000e-4,0.000000
2.213541666667e-4,0.000000
2.278645833333e-4,0.000000
2.343750000000e-4,0.000000
2.408854166667e-4,0.000000
2.473958333333e-4,0.000000
2.539062500000e-4,0.000000
2.604166666667e-4,0.000000
2.669270833333e-4,0.000000
2.734375000000e-4,0.000000
2.799479166667e-4,0.000000
2.864583333333e-4,0.000000
2.929687500000e-4,0.000000
2.994791666667e-4,0.000000
3.059895833333e-4,0.000000
3.125000000000e-4,0.000000
3.190104166667e-4,0.000000
3.255208333333e-4,0.000000
3.320312500000e-4,0.000000
3.385416666667e-4,0.000000
3.450520833333e-4,0.000000
3.515625000000e-4,0.000000
3.580729166667e-4,0.000000
3.645833333333e-4,0.000000
3.710937500000e-4,0.000000
3.776041666667e-4,0.000000
3.841145833333e-4,0.000000
3.906250000000e-4,0.000000
3.971354166667e-4,0.000000
4.036458333333e-4,0.000000
4.101562500000e-4,0.000000
4.166666666667e-4,0.000000
4.231770833333e-4,0.000000
4.296875000000e-4,0.000000
4.361979166667e-4,0.000000
4.427083333333e-4,0.000000
4.492187500000e-4,0.000000
4.557291666667e-4,0.000000
4.622395833333e-4,0.000000
4.687500000000e-4,0.000000
4.752604166667e-4,0.000000
4.817708333333e-4,0.000000
4.882812500000e-4,0.000000
4.947916666667e-4,0.000000
5.013020833333e-4,0.000000
5.078125000000e-4,0.000000
5.143229166667e-4,0.000000
5.208333333333e-4,0.000000
5.273437500000e-4,0.000000
5.338541666667e-4,0.000000
5.403645833333e-4,0.000000
5.468750000000e-4,0.000000
5.533854166667e-4,0.000000
5.598958333333e-4,0.000000
5.664062500000e-4,0.000000
5.729166666667e-4,0.000000
5.794270833333e-4,0.000000
5.859375000000e-4,0.000000
5.924479166667e-4,0.000000
5.989583333333e-4,0.000000
6.054687500000e-4,0.000000
6.119791666667e-4,0.000000
6.184895833333e-4,0.000000
6.250000000000e-4,3.300000
6.315104166667e-4,3.300000
6.380208333333e-4,3.300000
6.445312500000e-4,3.300000
6.510416666667e-4,3.300000
6.575520833333e-4,3.300000
6.640625000000e-4,3.300000
6.705729166667e-4,3.300000
6.770833333333e-4,3.300000
6.835937500000e-4,3.300000
6.901041666667e-4,3.300000
